prom_peak,gene,MoreOpenIn
20:5106888-5107897,CDS2,alpha 2
20:5158630-5159558,CDS2,alpha 1
20:52199483-52199908,ZNF217,alpha 2
20:5590591-5592003,GPCPD1,alpha 2
20:55925914-55926831,RAE1,alpha 2
20:5730789-5731673,C20orf196,alpha 1
20:5891634-5892748,CHGB,alpha 2
20:60640528-60641862,TAF4,alpha 2
20:60696528-60697883,LSM14B,alpha 2
20:60717773-60718959,PSMA7,alpha 2
20:60717773-60718959,SS18L1,alpha 2
20:60719247-60719698,SS18L1,alpha 2
20:60794816-60795638,HRH3,alpha 2
20:60877533-60878508,ADRM1,alpha 2
20:61556988-61558128,DIDO1,alpha 2
20:61568737-61570219,DIDO1,alpha 2
20:61568737-61570219,GID8,alpha 2
20:62130333-62130870,EEF1A2,alpha 2
20:62184622-62185650,C20orf195,alpha 2
20:62257933-62258972,GMEB2,alpha 2
20:62282947-62283956,STMN3,alpha 2
20:62289096-62290326,RTEL1,alpha 2
20:62338574-62340086,ZGPAT,alpha 2
20:62338574-62340086,ARFRP1,alpha 2
20:62462254-62463837,ZBTB46,alpha 2
20:62525778-62526852,DNAJC5,alpha 2
20:62610766-62611125,SAMD10,alpha 2
20:62795359-62796268,MYT1,alpha 2
20:633509-634392,SRXN1,alpha 2
20:6748009-6749436,BMP2,alpha 2
20:7999506-8000719,TMX4,alpha 2
20:8112352-8113619,PLCB1,alpha 2
20:9818931-9820084,PAK7,alpha 1
21:17101882-17102987,USP25,alpha 2
21:18884665-18886182,CXADR,alpha 2
21:22370186-22371051,NCAM2,alpha 1
21:28337602-28340229,ADAMTS5,alpha 1
21:30672334-30672876,BACH1,alpha 2
21:33764950-33766055,URB1,alpha 2
21:33764950-33766055,C21orf119,alpha 2
21:34014140-34015133,SYNJ1,alpha 1
21:34863335-34864440,DNAJC28,alpha 1
21:34924498-34925056,SON,alpha 2
21:35445079-35446614,MRPS6,alpha 2
21:35445079-35446614,SLC5A3,alpha 2
21:38444170-38446594,PIGP,alpha 2
21:38444170-38446594,TTC3,alpha 2
21:40751977-40753160,WRB,alpha 2
21:40759377-40759853,WRB,alpha 2
21:40824378-40824720,SH3BGR,alpha 2
21:40984251-40986090,C21orf88,alpha 2
21:42539474-42540481,BACE2,alpha 2
21:42877979-42878482,TMPRSS2,alpha 1
21:43429426-43431513,ZBTB21,alpha 2
21:44298813-44299962,WDR4,alpha 2
21:44312520-44313957,NDUFV3,alpha 2
21:45079001-45080259,HSF2BP,alpha 2
21:45079001-45080259,RRP1B,alpha 2
21:45147750-45149101,PDXK,alpha 2
21:45323254-45324115,AGPAT3,alpha 1
21:45431684-45433059,TRAPPC10,alpha 2
21:45553032-45553838,C21orf33,alpha 2
21:46130831-46131852,TSPEAR,alpha 1
21:46824780-46825211,COL18A1,alpha 1
21:47737902-47738473,C21orf58,alpha 1
21:47743666-47744914,C21orf58,alpha 2
21:47743666-47744914,PCNT,alpha 2
21:47878123-47879196,DIP2A,alpha 2
22:17601662-17602800,CECR6,alpha 2
22:17601662-17602800,AC006946.15,alpha 2
22:17639391-17640918,CECR5,alpha 2
22:18111133-18111989,ATP6V1E1,alpha 2
22:18111133-18111989,BCL2L13,alpha 2
22:18120927-18122462,BCL2L13,alpha 2
22:18483677-18484797,MICAL3,alpha 2
22:18893362-18894320,DGCR6,alpha 2
22:19109081-19110635,DGCR2,alpha 2
22:19132019-19132513,DGCR14,alpha 2
22:19419110-19420365,HIRA,alpha 2
22:19419110-19420365,MRPL40,alpha 2
22:19466425-19467551,UFD1L,alpha 2
22:19466425-19467551,CDC45,alpha 2
22:19707072-19707431,SEPT5,alpha 2
22:19842186-19843534,C22orf29,alpha 2
22:19842186-19843534,GNB1L,alpha 2
22:19973887-19974996,ARVCF,alpha 2
22:20003712-20004694,ARVCF,alpha 2
22:20003712-20004694,TANGO2,alpha 2
22:20067240-20068169,DGCR8,alpha 2
22:20104385-20105693,TRMT2A,alpha 2
22:20104385-20105693,RANBP1,alpha 2
22:20117858-20119462,ZDHHC8,alpha 2
22:20255388-20256146,RTN4R,alpha 2
22:20849308-20851034,KLHL22,alpha 2
22:20849308-20851034,MED15,alpha 2
22:20861615-20862482,MED15,alpha 2
22:21271073-21272425,CRKL,alpha 2
22:21355795-21357148,THAP7,alpha 2
22:21921823-21922758,UBE2L3,alpha 2
22:21983340-21984600,YDJC,alpha 2
22:21995821-21996867,SDF2L1,alpha 2
22:22089716-22090632,YPEL1,alpha 2
22:22221183-22222439,MAPK1,alpha 2
22:22292098-22293218,PPM1F,alpha 2
22:23411818-23413328,GNAZ,alpha 2
22:23487242-23487907,RTDR1,alpha 2
22:23487242-23487907,RAB36,alpha 2
22:23521603-23522161,BCR,alpha 2
22:24128890-24129938,SMARCB1,alpha 2
22:24180885-24181717,DERL3,alpha 2
22:24236062-24237858,MIF,alpha 2
22:24407342-24408450,CABIN1,alpha 2
22:24551654-24553256,CABIN1,alpha 2
22:24666465-24667456,SPECC1L,alpha 2
22:24819486-24821249,ADORA2A,alpha 2
22:24950883-24952078,GUCD1,alpha 2
22:24950883-24952078,SNRPD3,alpha 2
22:25348116-25349731,KIAA1671,alpha 2
22:25800674-25801582,LRP5L,alpha 2
22:26879281-26880185,HPS4,alpha 2
22:26879281-26880185,SRRD,alpha 2
22:28314510-28315982,PITPNB,alpha 2
22:29278996-29280083,ZNRF3,alpha 2
22:29468610-29469204,KREMEN1,alpha 2
22:29663644-29664979,RHBDD3,alpha 2
22:29663644-29664979,EWSR1,alpha 2
22:29949314-29950133,THOC5,alpha 2
22:29999145-30000118,NF2,alpha 2
22:30278864-30279929,MTMR3,alpha 2
22:30722762-30723515,TBC1D10A,alpha 2
22:31030440-31032447,SLC35E4,alpha 2
22:31063401-31064304,DUSP18,alpha 2
22:31090112-31091229,OSBP2,alpha 2
22:31277464-31278113,OSBP2,alpha 1
22:31555751-31556729,RNF185,alpha 2
22:31741114-31743793,PATZ1,alpha 2
22:31741114-31743793,AC005003.1,alpha 2
22:31795195-31795967,DRG1,alpha 2
22:31885101-31886802,EIF4ENIF1,alpha 2
22:31975647-31976441,SFI1,alpha 1
22:32057843-32058770,PISD,alpha 2
22:32339839-32341092,YWHAH,alpha 2
22:32339839-32341092,C22orf24,alpha 2
22:32860257-32860886,BPIFC,alpha 2
22:32870474-32871720,FBXO7,alpha 2
22:34316771-34317425,LARGE,alpha 2
22:35653205-35654113,HMGXB4,alpha 2
22:35695242-35696808,TOM1,alpha 2
22:35935977-35937640,RASD2,alpha 2
22:36235946-36236821,RBFOX2,alpha 2
22:36761030-36761414,MYH9,alpha 2
22:36902783-36903590,FOXRED2,alpha 2
22:38092580-38093150,TRIOBP,alpha 2
22:38141743-38142586,TRIOBP,alpha 2
22:38239788-38240764,ANKRD54,alpha 2
22:38301078-38301475,MICALL1,alpha 2
22:38301962-38302650,MICALL1,alpha 2
22:38576121-38576679,PLA2G6,alpha 2
22:38597596-38599531,MAFF,alpha 2
22:38667832-38669495,TMEM184B,alpha 2
22:38694586-38694945,CSNK1E,alpha 2
22:38712725-38713960,CSNK1E,alpha 2
22:38714177-38714668,CSNK1E,alpha 2
22:38883988-38884299,DDX17,alpha 2
22:39052219-39053786,FAM227A,alpha 2
22:39052219-39053786,CBY1,alpha 2
22:39096505-39097461,JOSD1,alpha 2
22:39151299-39152403,SUN2,alpha 2
22:39239185-39240255,NPTXR,alpha 2
22:39548383-39549293,CBX7,alpha 2
22:39915591-39917278,ATF4,alpha 2
22:40342557-40343322,GRAP2,alpha 1
22:41032232-41033416,MKL1,alpha 2
22:41346807-41347905,RBX1,alpha 2
22:41776993-41778393,TEF,alpha 2
22:41842639-41843636,TOB2,alpha 2
22:42016243-42017843,DESI1,alpha 2
22:42016243-42017843,XRCC6,alpha 2
22:42077665-42078873,NHP2L1,alpha 2
22:42486082-42487403,NDUFA6,alpha 2
22:42915449-42916400,RRP7A,alpha 2
22:43010370-43012042,POLDIP3,alpha 2
22:45404343-45406308,PHF21B,alpha 2
22:45559013-45560599,NUP50,alpha 2
22:45636448-45637175,KIAA0930,alpha 2
22:45705329-45706099,FAM118A,alpha 2
22:46645690-46646617,CDPF1,alpha 2
22:46692171-46692978,GTSE1,alpha 2
22:46731165-46732937,TRMU,alpha 2
22:46972456-46973435,GRAMD4,alpha 2
22:50219631-50219879,BRD1,alpha 2
22:50220211-50221719,BRD1,alpha 2
22:50246555-50248066,ZBED4,alpha 2
22:50353392-50354524,PIM3,alpha 2
22:50608134-50608838,PANX2,alpha 2
22:50638850-50639925,SELO,alpha 2
22:50946008-50947074,LMF2,alpha 2
22:50946008-50947074,NCAPH2,alpha 2
22:50963606-50965027,SCO2,alpha 2
3:100053058-100054126,NIT2,alpha 2
3:100210844-100211737,TMEM45A,alpha 1
3:100427771-100429132,TFG,alpha 1
3:10052484-10053186,EMC3,alpha 2
3:10067620-10068469,FANCD2,alpha 2
3:105084956-105087288,ALCAM,alpha 2
3:107317696-107318810,BBX,alpha 1
3:107809250-107810817,CD47,alpha 2
3:108307944-108309053,KIAA1524,alpha 2
3:108307944-108309053,DZIP3,alpha 2
3:108321196-108322087,DZIP3,alpha 1
3:110789798-110791342,PVRL3,alpha 2
3:111578081-111579783,PHLDB2,alpha 2
3:111697384-111698375,ABHD10,alpha 2
3:111717487-111719105,TAGLN3,alpha 1
3:11196083-11196625,HRH1,alpha 1
3:112279962-112281458,SLC35A5,alpha 2
3:112279962-112281458,ATG3,alpha 2
3:112709549-112710496,GTPBP8,alpha 2
3:112930095-112931680,BOC,alpha 2
3:113233371-113234500,SPICE1,alpha 2
3:113464002-113466508,NAA50,alpha 2
3:113464002-113466508,ATP6V1A,alpha 2
3:11760158-11762334,VGLL4,alpha 2
3:117715385-117716677,LSAMP,alpha 1
3:120314731-120315710,NDUFB4,alpha 2
3:121740593-121741333,ILDR1,alpha 1
3:122232822-122233993,KPNA1,alpha 2
3:122512329-122513229,HSPBAP1,alpha 2
3:122512329-122513229,DIRC2,alpha 2
3:123602997-123603615,MYLK,alpha 2
3:124597388-124598099,ITGB5,alpha 2
3:124605022-124606644,ITGB5,alpha 2
3:124774374-124775279,HEG1,alpha 2
3:125093428-125095547,ZNF148,alpha 2
3:12598105-12599052,MKRN2,alpha 2
3:126193913-126195423,ZXDC,alpha 2
3:126422533-126423772,CHCHD6,alpha 2
3:127308877-127310246,TPRA1,alpha 2
3:127347634-127349232,PODXL2,alpha 2
3:127871809-127872920,EEFSEC,alpha 2
3:127871809-127872920,RUVBL1,alpha 2
3:128368904-128370090,RPN1,alpha 2
3:128444691-128445854,RAB7A,alpha 2
3:128513045-128513714,RAB7A,alpha 2
3:128879609-128881028,ISY1-RAB43,alpha 2
3:128879609-128881028,ISY1,alpha 2
3:128997261-128998705,HMCES,alpha 2
3:129611623-129613019,TMCC1,alpha 2
3:13008783-13009747,IQSEC1,alpha 2
3:131753326-131754164,CPNE4,alpha 2
3:132135760-132137229,DNAJC13,alpha 2
3:133524252-133525382,SRPRB,alpha 2
3:133968958-133970077,RYK,alpha 2
3:134369276-134370732,KY,alpha 1
3:134513737-134515637,EPHB1,alpha 1
3:13460879-13462224,NUP210,alpha 2
3:135914172-135916091,MSL2,alpha 2
3:136580379-136581769,NCK1,alpha 2
3:137893057-137894238,DBR1,alpha 2
3:138553054-138554318,PIK3CB,alpha 2
3:139062497-139063496,MRPS22,alpha 1
3:139257626-139258982,RBP1,alpha 1
3:141594369-141596396,ATP1B3,alpha 2
3:142166132-142167173,XRN1,alpha 2
3:142837980-142840100,CHST2,alpha 1
3:145803513-145804330,PLOD2,alpha 1
3:145940107-145940881,PLSCR4,alpha 1
3:148708999-148710240,GYG1,alpha 2
3:148897766-148898308,CP,alpha 2
3:149191453-149191887,TM4SF4,alpha 2
3:149192058-149192713,TM4SF4,alpha 1
3:149530057-149531442,RNF13,alpha 2
3:149563425-149563958,RNF13,alpha 2
3:150125662-150128361,TSC22D2,alpha 2
3:150320643-150322056,SELT,alpha 2
3:150320643-150322056,SERP1,alpha 2
3:150966431-150967353,P2RY14,alpha 1
3:151986221-151987945,MBNL1,alpha 2
3:15247323-15248343,CAPN7,alpha 2
3:152552286-152554235,P2RY1,alpha 1
3:156398754-156399207,TIPARP,alpha 1
3:15642746-15643694,BTD,alpha 2
3:15642746-15643694,HACL1,alpha 2
3:157217089-157217822,VEPH1,alpha 1
3:157827485-157828732,RSRC1,alpha 2
3:158464546-158465214,MFSD1,alpha 2
3:158519097-158520405,MFSD1,alpha 2
3:158526510-158526805,MFSD1,alpha 2
3:15900384-15902379,ANKRD28,alpha 2
3:159482788-159483698,IQCJ-SCHIP1,alpha 2
3:160282539-160284113,KPNA4,alpha 2
3:160394646-160395079,ARL14,alpha 2
3:16306028-16307033,DPH3,alpha 2
3:16306028-16307033,OXNAD1,alpha 2
3:167812562-167814461,GOLIM4,alpha 2
3:169490460-169491634,MYNN,alpha 2
3:169683972-169685477,SEC62,alpha 2
3:169898451-169899734,PHC3,alpha 2
3:170074456-170076265,SKIL,alpha 2
3:170136135-170137873,CLDN11,alpha 2
3:170302203-170304099,SLC7A14,alpha 2
3:170625910-170626776,EIF5A2,alpha 2
3:171176889-171179128,TNIK,alpha 2
3:171757156-171758809,FNDC3B,alpha 2
3:172240839-172241660,TNFSF10,alpha 1
3:173112840-173113978,NLGN1,alpha 2
3:173301961-173303684,NLGN1,alpha 1
3:17782177-17782536,TBC1D5,alpha 2
3:17783446-17784655,TBC1D5,alpha 2
3:178864990-178867208,PIK3CA,alpha 2
3:179040237-179041705,ZNF639,alpha 2
3:179371977-179372427,USP13,alpha 2
3:179753714-179755415,PEX5L,alpha 1
3:180319456-180320456,TTC14,alpha 1
3:180706969-180707943,DNAJC19,alpha 1
3:182697503-182698761,DCUN1D1,alpha 2
3:183353152-183354937,KLHL24,alpha 2
3:183542566-183543941,MAP6D1,alpha 2
3:183734986-183736227,ABCC5,alpha 2
3:183851834-183853695,EIF2B5,alpha 2
3:183872613-183873957,DVL3,alpha 2
3:183892253-183892994,AP2M1,alpha 2
3:183894237-183894815,AP2M1,alpha 2
3:183903367-183904523,ABCF3,alpha 2
3:183966365-183966918,ALG3,alpha 2
3:183979050-183979986,CAMK2N2,alpha 2
3:184016562-184017749,PSMD2,alpha 2
3:184079219-184081498,CLCN2,alpha 2
3:184079219-184081498,POLR2H,alpha 2
3:184278887-184280128,EPHB3,alpha 2
3:184529687-184530673,VPS8,alpha 2
3:185216176-185217250,TMEM41A,alpha 2
3:185998981-185999289,DGKG,alpha 2
3:186284836-186285352,TBCCD1,alpha 2
3:186284836-186285352,DNAJB11,alpha 2
3:187085711-187087191,RTP4,alpha 1
3:187871363-187872483,LPP,alpha 2
3:189838061-189838989,LEPREL1,alpha 1
3:193310569-193311802,OPA1,alpha 2
3:194118357-194119163,GP5,alpha 1
3:194146529-194146848,ATP13A3,alpha 2
3:194206332-194208622,ATP13A3,alpha 2
3:194991022-194992636,XXYLT1,alpha 2
3:195269553-195270628,PPP1R2,alpha 2
3:195622694-195623142,TNK2,alpha 2
3:195623517-195624334,TNK2,alpha 2
3:195634632-195635589,TNK2,alpha 2
3:195635898-195636899,TNK2,alpha 2
3:195808100-195809454,TFRC,alpha 2
3:196158124-196159779,UBXN7,alpha 2
3:196295284-196296318,WDR53,alpha 2
3:196295284-196296318,FBXO45,alpha 2
3:196438606-196439840,CEP19,alpha 2
3:196438606-196439840,PIGX,alpha 2
3:196466490-196467856,PAK2,alpha 2
3:196594299-196595543,SENP5,alpha 2
3:196668686-196669855,NCBP2,alpha 2
3:197281333-197283174,BDH1,alpha 2
3:197476166-197477892,FYTTD1,alpha 2
3:197476166-197477892,KIAA0226,alpha 2
3:197686606-197687742,IQCG,alpha 2
3:197686606-197687742,LMLN,alpha 2
3:2140056-2141425,CNTN4,alpha 2
3:23957988-23959294,RPL15,alpha 1
3:23957988-23959294,NKIRAS1,alpha 1
3:2552085-2553595,CNTN4,alpha 1
3:26663938-26664985,LRRC3B,alpha 1
3:28282633-28283561,CMC1,alpha 2
3:28389793-28391359,AZI2,alpha 2
3:28389793-28391359,ZCWPW2,alpha 2
3:30647289-30648946,TGFBR2,alpha 2
3:30935698-30936720,GADL1,alpha 1
3:31573357-31575252,STT3B,alpha 2
3:32021945-32023497,OSBPL10,alpha 2
3:32021945-32023497,ZNF860,alpha 2
3:32611481-32612885,DYNC1LI1,alpha 2
3:33137958-33139259,GLB1,alpha 2
3:33137958-33139259,TMPPE,alpha 2
3:33758338-33760108,CLASP2,alpha 2
3:33839674-33840752,PDCD6IP,alpha 2
3:36985417-36986731,TRANK1,alpha 1
3:37216256-37218418,LRRFIP2,alpha 2
3:37902969-37904030,CTDSPL,alpha 2
3:3840299-3842111,LRRN1,alpha 1
3:38494711-38497470,ACVR2B,alpha 2
3:39148481-39149536,GORASP1,alpha 2
3:39148481-39149536,TTC21A,alpha 2
3:39234294-39234513,XIRP1,alpha 2
3:39424657-39426066,SLC25A38,alpha 2
3:40428268-40429199,ENTPD3,alpha 1
3:41240326-41241915,CTNNB1,alpha 2
3:42306127-42306499,CCK,alpha 2
3:42622947-42624049,SS18L2,alpha 2
3:42622947-42624049,SEC22C,alpha 2
3:42845335-42846318,HIGD1A,alpha 2
3:43327612-43328673,SNRK,alpha 2
3:43731722-43733217,ABHD5,alpha 2
3:43731722-43733217,ANO10,alpha 2
3:44551579-44552806,ZNF852,alpha 2
3:44666143-44667296,ZNF197,alpha 2
3:44902855-44903979,TMEM42,alpha 2
3:45266465-45268100,TMEM158,alpha 2
3:45729799-45731261,SACM1L,alpha 2
3:47017674-47018704,CCDC12,alpha 2
3:47204709-47206410,SETD2,alpha 2
3:47323773-47324918,KIF9,alpha 2
3:47323773-47324918,KLHL18,alpha 2
3:47421823-47423249,PTPN23,alpha 2
3:47484602-47485557,SCAP,alpha 2
3:47516655-47517867,SCAP,alpha 2
3:47554428-47555487,ELP6,alpha 2
3:47822605-47823919,SMARCC1,alpha 2
3:47843856-47845166,DHX30,alpha 2
3:47866215-47867013,DHX30,alpha 2
3:47952231-47952735,MAP4,alpha 2
3:48130158-48130970,MAP4,alpha 2
3:48229257-48230310,CDC25A,alpha 2
3:48342365-48343646,NME6,alpha 2
3:48487834-48488634,ATRIP,alpha 2
3:48594128-48594879,PFKFB4,alpha 2
3:48632647-48633465,COL7A1,alpha 2
3:48722941-48723765,NCKIPSD,alpha 2
3:48884458-48885683,PRKAR2A,alpha 2
3:48955706-48956994,ARIH2,alpha 2
3:48955706-48956994,ARIH2OS,alpha 2
3:49027086-49028478,P4HTM,alpha 2
3:49044472-49045595,WDR6,alpha 2
3:49058351-49059876,NDUFAF3,alpha 2
3:49058351-49059876,DALRD3,alpha 2
3:49066253-49067135,IMPDH2,alpha 2
3:49130643-49132197,QRICH1,alpha 2
3:49236677-49237161,CCDC36,alpha 2
3:49377073-49378355,USP4,alpha 2
3:49448883-49450187,RHOA,alpha 2
3:49448883-49450187,TCTA,alpha 2
3:49507033-49508370,DAG1,alpha 2
3:49590926-49592633,BSN,alpha 2
3:49711059-49712126,APEH,alpha 2
3:49726534-49727298,MST1,alpha 2
3:49726534-49727298,RNF123,alpha 2
3:49756766-49757365,AMIGO3,alpha 2
3:49823450-49824372,IP6K1,alpha 2
3:49839968-49841217,FAM212A,alpha 2
3:50191884-50192920,SEMA3F,alpha 2
3:5019871-5021295,BHLHE40,alpha 2
3:50288664-50289176,GNAI2,alpha 2
3:50336517-50337340,HYAL3,alpha 2
3:50336517-50337340,NAT6,alpha 2
3:50358351-50359569,HYAL2,alpha 2
3:50365397-50366266,TUSC2,alpha 2
3:50374353-50375413,RASSF1,alpha 2
3:50539296-50541371,CACNA2D2,alpha 2
3:50604789-50605388,C3orf18,alpha 2
3:50648940-50649793,CISH,alpha 2
3:50648940-50649793,MAPKAPK3,alpha 2
3:50654079-50655123,MAPKAPK3,alpha 2
3:50711884-50713087,DOCK3,alpha 2
3:51428323-51429652,RBM15B,alpha 2
3:51533100-51534474,VPRBP,alpha 2
3:5163728-5165532,ARL8B,alpha 2
3:51704804-51706144,TEX264,alpha 2
3:51740806-51741489,GRM2,alpha 1
3:51975793-51976497,RRP9,alpha 2
3:51975793-51976497,PARP3,alpha 2
3:52007652-52009446,ABHD14A,alpha 2
3:52007652-52009446,RP11-155D18.14,alpha 2
3:52007652-52009446,ABHD14B,alpha 2
3:52007652-52009446,ACY1,alpha 2
3:52007652-52009446,ABHD14A-ACY1,alpha 2
3:52089953-52090267,DUSP7,alpha 2
3:52231822-52232622,ALAS1,alpha 2
3:52443897-52444958,BAP1,alpha 2
3:52443897-52444958,PHF7,alpha 2
3:52567720-52568294,NT5DC2,alpha 2
3:52719418-52720341,PBRM1,alpha 2
3:52719418-52720341,GNL3,alpha 2
3:52739483-52740450,SPCS1,alpha 2
3:52739483-52740450,GLT8D1,alpha 2
3:52931258-52932061,TMEM110-MUSTN1,alpha 2
3:52931258-52932061,TMEM110,alpha 2
3:53078787-53080953,SFMBT1,alpha 2
3:53289399-53290369,TKT,alpha 2
3:53527775-53528856,CACNA1D,alpha 2
3:53828685-53829652,CACNA1D,alpha 2
3:56716309-56717541,FAM208A,alpha 2
3:56835159-56836474,ARHGEF3,alpha 2
3:57094381-57094822,SPATA12,alpha 2
3:57261220-57262678,APPL1,alpha 2
3:57541263-57543189,PDE12,alpha 2
3:57582920-57584007,ARF4,alpha 2
3:57678020-57679098,DENND6A,alpha 2
3:57741469-57743137,SLMAP,alpha 2
3:57993813-57995288,FLNB,alpha 2
3:58222904-58223899,ABHD6,alpha 2
3:58291718-58293176,RPP14,alpha 2
3:58477392-58478206,KCTD6,alpha 2
3:59035206-59036128,C3orf67,alpha 2
3:62858799-62860304,CADPS,alpha 2
3:63848608-63850364,THOC7,alpha 2
3:63848608-63850364,ATXN7,alpha 2
3:63897337-63898901,ATXN7,alpha 2
3:64008646-64009429,PSMD6,alpha 2
3:66271012-66271868,SLC25A26,alpha 2
3:68981268-68982060,FAM19A4,alpha 1
3:6902056-6903763,GRM7,alpha 1
3:71112780-71114867,FOXP1,alpha 2
3:71833963-71834889,PROK2,alpha 2
3:72495625-72496766,RYBP,alpha 2
3:72896862-72898158,SHQ1,alpha 2
3:73045556-73046703,PPP4R2,alpha 2
3:73672989-73674245,PDZRN3,alpha 2
3:75955588-75956209,ROBO2,alpha 1
3:79814987-79817355,ROBO1,alpha 1
3:81792187-81793888,GBE1,alpha 2
3:88039890-88040525,HTR1F,alpha 1
3:8811018-8811376,OXTR,alpha 1
3:9289763-9291766,SRGAP3,alpha 1
3:98450951-98452474,ST3GAL6,alpha 1
3:99594521-99595361,FILIP1L,alpha 2
3:9974332-9975988,CRELD1,alpha 2
4:100009329-100010384,ADH5,alpha 1
4:100139875-100140935,ADH6,alpha 1
4:1002971-1005430,FGFRL1,alpha 2
4:100484159-100485410,TRMT10A,alpha 1
4:100484159-100485410,MTTP,alpha 1
4:101110964-101112652,DDIT4L,alpha 1
4:102340522-102341066,BANK1,alpha 1
4:102711538-102712679,BANK1,alpha 1
4:103681411-103682819,MANBA,alpha 1
4:105411620-105413001,CXXC4,alpha 2
4:106394223-106395518,PPA2,alpha 2
4:106473294-106474107,ARHGEF38,alpha 1
4:108745209-108746613,SGMS2,alpha 2
4:109683611-109684720,ETNPPL,alpha 1
4:110223291-110224662,COL25A1,alpha 2
4:110354414-110355720,SEC24B,alpha 2
4:111396755-111397701,ENPEP,alpha 1
4:114037381-114038677,ANK2,alpha 1
4:114066670-114067417,ANK2,alpha 1
4:114213502-114215176,ANK2,alpha 1
4:115519347-115521269,UGT8,alpha 2
4:118006229-118007212,TRAM1L1,alpha 1
4:122871320-122873348,TRPC3,alpha 1
4:1241796-1243531,CTBP1,alpha 2
4:1283147-1284251,MAEA,alpha 2
4:128981787-128983660,LARP1B,alpha 2
4:129732163-129733865,PHF17,alpha 2
4:129752343-129753595,PHF17,alpha 1
4:13629009-13630188,BOD1L1,alpha 2
4:139935550-139937528,CCRN4L,alpha 2
4:140810384-140810960,MAML3,alpha 2
4:140812448-140812711,MAML3,alpha 1
4:141073998-141074422,MAML3,alpha 2
4:141294361-141295329,SCOC,alpha 2
4:141347898-141349253,CLGN,alpha 2
4:141676786-141678460,TBC1D9,alpha 2
4:143394790-143396276,INPP4B,alpha 1
4:143766547-143768764,INPP4B,alpha 1
4:144311944-144312376,GAB1,alpha 1
4:144621150-144622381,FREM3,alpha 1
4:146018873-146020203,ANAPC10,alpha 2
4:146018873-146020203,ABCE1,alpha 2
4:147096675-147097671,LSM6,alpha 2
4:148652748-148653992,ARHGAP10,alpha 2
4:15002946-15005641,CPEB2,alpha 2
4:150999156-151000795,DCLK2,alpha 2
4:151223663-151224036,LRBA,alpha 2
4:152329138-152330717,FAM160A1,alpha 2
4:153456836-153458079,FBXW7,alpha 2
4:153699938-153701557,TIGD4,alpha 2
4:153699938-153701557,ARFIP1,alpha 2
4:154178152-154178947,TRIM2,alpha 2
4:154386841-154388033,KIAA0922,alpha 2
4:155411925-155413458,DCHS2,alpha 1
4:156128683-156130344,NPY2R,alpha 1
4:15656234-15657844,FBXL5,alpha 2
4:156679852-156681439,GUCY1B3,alpha 2
4:15704266-15705584,BST1,alpha 1
4:159122612-159122839,TMEM144,alpha 2
4:159131177-159131866,TMEM144,alpha 1
4:159643620-159645109,PPID,alpha 2
4:159726677-159727204,FNIP2,alpha 2
4:165304202-165305453,MARCH1,alpha 2
4:165877808-165878614,FAM218A,alpha 1
4:169752798-169754739,PALLD,alpha 2
4:170191272-170192792,SH3RF1,alpha 2
4:170580883-170581908,CLCN3,alpha 2
4:1713332-1714907,SLBP,alpha 2
4:17615179-17616895,MED28,alpha 2
4:177240625-177241974,SPCS3,alpha 2
4:17782185-17783691,FAM184B,alpha 1
4:1794611-1795986,FGFR3,alpha 2
4:18022335-18024163,LCORL,alpha 2
4:183064956-183066209,TENM3,alpha 2
4:184880910-184881834,STOX2,alpha 2
4:185338926-185339418,IRF2,alpha 2
4:185746419-185747913,ACSL1,alpha 2
4:186124339-186125516,KIAA1430,alpha 2
4:186124339-186125516,SNX25,alpha 2
4:186130251-186131882,KIAA1430,alpha 2
4:186130251-186131882,SNX25,alpha 2
4:186316972-186318582,LRP2BP,alpha 2
4:186316972-186318582,ANKRD37,alpha 2
4:186455899-186457018,PDLIM3,alpha 2
4:186731944-186733595,SORBS2,alpha 1
4:186989023-186990606,TLR3,alpha 1
4:187148188-187148819,KLKB1,alpha 1
4:187186771-187188582,F11,alpha 1
4:1871875-1873718,WHSC1,alpha 2
4:2010380-2011901,NELFA,alpha 2
4:20254451-20255134,SLIT2,alpha 2
4:21305553-21306495,KCNIP4,alpha 1
4:21699084-21699820,KCNIP4,alpha 2
4:2243239-2244403,POLN,alpha 2
4:2243239-2244403,HAUS3,alpha 2
4:23891238-23891922,PPARGC1A,alpha 2
4:2420090-2420903,ZFYVE28,alpha 2
4:24585135-24586605,DHX15,alpha 2
4:2470165-2471714,RNF4,alpha 2
4:24913800-24914867,CCDC149,alpha 1
4:26344004-26344507,RBPJ,alpha 2
4:26491787-26492857,CCKAR,alpha 1
4:26861858-26863344,STIM2,alpha 2
4:2844920-2846121,ADD1,alpha 2
4:2935800-2936958,MFSD10,alpha 2
4:2964486-2965811,NOP14,alpha 2
4:2964486-2965811,GRK4,alpha 2
4:30721768-30723875,PCDH7,alpha 1
4:3767044-3768276,ADRA2C,alpha 2
4:37978497-37979987,TBC1D1,alpha 2
4:39045943-39047111,KLHL5,alpha 2
4:39367284-39368252,RFC1,alpha 2
4:39459983-39461580,RPL9,alpha 2
4:39459983-39461580,LIAS,alpha 2
4:39528703-39529962,UGDH,alpha 2
4:39640064-39641290,SMIM14,alpha 2
4:39698581-39700435,UBE2K,alpha 2
